pays,animal,ou_voir,fait,photo_query
Kazakhstan,Aigle royal,"Steppes et montagnes, avec les chasseurs","Les chasseurs kazakhs le dressent pour chasser renards et lièvres — une tradition millénaire.",golden eagle hunter Kazakhstan
Kazakhstan,Léopard des neiges,"Hautes montagnes du Tian Shan (très rare)","Surnommé le fantôme des montagnes : presque personne ne le voit.",snow leopard mountains
Kazakhstan,Cheval des steppes,"Partout dans les plaines","Les Kazakhs comptent parmi les premiers humains à avoir domestiqué le cheval, il y a ~5500 ans.",Kazakhstan steppe horses
Kirghizistan,Cheval,"Dans toutes les vallées et alpages","Au cœur de la vie nomade ; on boit même son lait fermenté, le kymyz.",Kyrgyzstan horses mountains
Kirghizistan,Léopard des neiges,"Montagnes du Tian Shan","Emblème national, l'un des félins les plus rares de la planète.",snow leopard
Kirghizistan,Marmotte,"Prairies d'altitude","Elle siffle très fort pour prévenir tout le groupe d'un danger.",marmot mountains
Mongolie,Cheval de Przewalski,"Steppes (réintroduit)","Le seul vrai cheval sauvage au monde, jamais domestiqué.",Przewalski horse Mongolia
Mongolie,Renne,"Taïga du nord, chez les Tsaatan (vous y allez !)","Le peuple Tsaatan vit avec ses rennes : il les monte et les trait.",reindeer Mongolia taiga
Mongolie,Chameau de Bactriane,"Désert de Gobi","Deux bosses, et il encaisse aussi bien -40°C que +40°C.",Bactrian camel Gobi
Mongolie,Yak,"Montagnes et hauts plateaux","Il donne lait et laine, et porte les charges là où rien ne passe.",yak Mongolia
Chine,Panda géant,"Réserves du Sichuan","Il passe jusqu'à 14 heures par jour à manger du bambou.",giant panda China
Chine,Singe doré,"Forêts de montagne","Sa fourrure orange le protège du froid en altitude.",golden snub-nosed monkey
Chine,Grue de Mandchourie,"Zones humides","Symbole de longévité et de bonheur en Chine.",red-crowned crane
Hong-Kong,Dauphin rose de Chine,"Estuaire, au large","Il est vraiment rose — et malheureusement de plus en plus rare.",pink dolphin Hong Kong
Hong-Kong,Milan noir,"Au-dessus de la baie","On en voit tournoyer entre les gratte-ciel.",black kite Hong Kong
Hong-Kong,Sanglier,"Collines et parcs","Ils descendent parfois jusque dans les rues de la ville.",wild boar forest
Malaisie,Orang-outan,"Forêts de Bornéo","Son nom veut dire homme de la forêt ; il partage ~97% de notre ADN.",orangutan Borneo
Malaisie,Calao,"Forêt tropicale","Son énorme bec coloré le rend impossible à rater.",hornbill rainforest
Malaisie,Tapir,"Jungle","Noir et blanc, son bébé naît rayé comme une pastèque.",Malayan tapir
Indonésie,Dragon de Komodo,"Île de Komodo (vous y allez !)","Plus grand lézard du monde, jusqu'à 3 m, avec une salive pleine de bactéries.",Komodo dragon
Indonésie,Orang-outan,"Jungle de Sumatra, Bukit Lawang (vous y allez !)","Vous irez le voir en trek dès le début de l'Indonésie.",orangutan Sumatra
Indonésie,Raie manta,"Eaux de Komodo (vous nagerez avec)","Jusqu'à 7 m d'envergure, et totalement inoffensive.",manta ray ocean
Indonésie,Tortue marine,"Gili et Lombok","On peut nager juste à côté d'elles dans les eaux claires.",sea turtle ocean
