pays,plat,nom_local,description,photo_query
Kazakhstan,Beshbarmak,Бешбармак,"LE plat des grandes occasions : pâtes larges, viande de cheval ou de mouton bouillie, oignons — et son nom veut dire « cinq doigts », parce qu'il se mange traditionnellement à la main. Défi familial accepté ?",beshbarmak Kazakh dish
Kazakhstan,Manty,Манты,"Des gros raviolis vapeur juteux à la viande et à l'oignon, cousins géants des dumplings chinois — la route de la soie dans une bouchée. On les attrape à la main aussi.",manty steamed dumplings
Kazakhstan,Baursak,Бауырсақ,"Des beignets dorés soufflés qu'on sert avec TOUT, du thé au beshbarmak. Impossible d'en manger un seul — c'est scientifiquement prouvé par tous les enfants du Kazakhstan.",baursak fried dough
Kazakhstan,Kazy,Қазы,"La spécialité qui fera raconter une histoire à la maison : de la saucisse… de cheval, fumée, réservée aux invités d'honneur. Y goûter, c'est être adopté.",kazy horse sausage Kazakh
Kazakhstan,Chai (thé kazakh),Шай,"Ici le thé n'est pas une boisson, c'est une cérémonie : servi au lait dans des bols, resservi à l'infini par la maîtresse de maison. Refuser la troisième tasse ? Mission impossible.",kazakh tea bowl milk
Kirghizistan,Lagman,Лагман,"De longues nouilles étirées à la main, sautées ou en soupe avec viande, poivrons et épices. Chaque cuisinier a sa recette secrète, héritée de la route de la soie.",lagman noodles Central Asia
Kirghizistan,Samsa,Самса,"Le triangle magique : un feuilleté à la viande cuit collé aux parois d'un four tandoor, croustillant dehors, fondant dedans. Le goûter des bergers, vendu fumant au bord des routes.",samsa tandoor bread meat
Kirghizistan,Kurut,Курут,"Les mystérieuses boules blanches vendues partout : du fromage séché salé et acidulé, dur comme un caillou. Les enfants kirghizes en raffolent — Alexis et Emma, à vous de juger ce snack extraterrestre.",kurut dried cheese balls
Kirghizistan,Kymyz,Кымыз,"LA boisson nationale : du lait de jument fermenté, légèrement pétillant et acide. On vous en offrira sous une yourte — le refuser poliment est permis, mais y avoir goûté vaut médaille.",kumis fermented mare milk
Kirghizistan,Plov,Плов,"Le riz mijoté aux carottes jaunes, à la viande et à l'ail entier, cuit dans un immense chaudron (kazan). Le plat qui réunit toute l'Asie centrale autour du feu.",plov rice kazan
Mongolie,Buuz,Бууз,"Les raviolis vapeur mongols, dodus et juteux, stars du Naadam et du Nouvel An (où chaque famille en prépare des CENTAINES). On croque un coin, on aspire le jus, puis on dévore.",buuz Mongolian dumplings
Mongolie,Khuushuur,Хуушуур,"Le chausson de viande frit qu'on mange brûlant avec les doigts pendant le Naadam — c'est LE fast-food des steppes. Tradition bonus : se les passer sur les mains pour « prendre l'énergie ».",khuushuur fried Mongolian
Mongolie,Tsuivan,Цуйван,"Des nouilles maison sautées à la viande séchée et aux légumes, le plat réconfort après une journée à cheval. Simple, roboratif, parfait sous une yourte.",tsuivan Mongolian noodles
Mongolie,Aaruul,Ааруул,"Le fromage de yak séché au soleil sur les toits des yourtes, dur à casser des dents. Les nomades en mâchent toute la journée — c'est le bonbon officiel de la steppe.",aaruul dried curd Mongolia
Mongolie,Thé au lait salé,Сүүтэй цай,"Le choc culturel en bol : thé, lait, et… sel. On vous en servira dès l'entrée dans chaque yourte, c'est le geste d'hospitalité absolu. Astuce : penser « soupe », pas « thé ».",Mongolian milk tea bowl
Chine,Canard laqué de Pékin,北京烤鸭,"L'empereur des plats : peau caramel croustillante découpée devant vous, à rouler dans une crêpe fine avec concombre, oignon et sauce sucrée. Un festin à vivre au moins une fois à Pékin même.",Peking duck sliced
Chine,Xiaolongbao,小笼包,"Le piège génial de Shanghai : des raviolis-bouchons remplis de SOUPE brûlante. Technique officielle : percer, aspirer le bouillon, puis manger. Première tentative = brûlure ou éclaboussure garantie, fous rires aussi.",xiaolongbao soup dumplings
Chine,Jiaozi,饺子,"Les raviolis chinois du quotidien, bouillis ou grillés, qu'on trempe dans le vinaigre noir. Les faire soi-même est une activité familiale nationale — et un excellent test de dextérité aux baguettes.",jiaozi Chinese dumplings
Chine,Baozi,包子,"La brioche vapeur fourrée (porc, légumes ou pâte de haricot sucrée) : le petit-déjeuner de la Chine entière, attrapé fumant dans les paniers en bambou des stands de rue.",baozi steamed buns bamboo
