ordre,pays,lieu,statut,texte,photo_query
1,Kazakhstan,Kok-Tobe,,"La colline qui domine Almaty, accessible en téléphérique. En haut : vue sur toute la ville avec les monts Tian Shan enneigés derrière, une mini fête foraine… et une statue des Beatles (oui, ici).",Kok-Tobe Almaty view
1,Kazakhstan,Cathédrale Zenkov & parc Panfilov,,"Une cathédrale de conte de fées, jaune et colorée, construite en 1907 entièrement en bois — officiellement sans un seul clou — et qui a survécu au grand tremblement de terre de 1911.",Zenkov Cathedral Almaty
1,Kazakhstan,Green Bazaar,,"Le grand marché couvert d'Almaty : montagnes de fruits secs, épices, fromages de la steppe et vendeurs qui font goûter. C'est ici qu'on comprend qu'on est sur la route de la soie.",Green Bazaar Almaty market
2,Kirghizistan,Place Ala-Too,,"Le cœur de Bichkek : la statue de Manas, le héros national à cheval, la relève de la garde toutes les heures, et les montagnes qui ferment l'horizon au bout de l'avenue.",Ala-Too Square Bishkek
2,Kirghizistan,Bazar d'Och,,"Un labyrinthe de ruelles couvertes où tout se vend : kalpaks (les chapeaux de feutre kirghizes), fruits, kurut… L'un des plus vieux marchés d'Asie centrale.",Osh Bazaar Bishkek
3,Kirghizistan,Lac Issyk-Kul,,"Le deuxième plus grand lac de montagne du monde, à 1600 m d'altitude. Légèrement salé, il ne gèle JAMAIS malgré les hivers à -20°C — son nom veut dire « lac chaud ». Les Kirghizes racontent qu'une cité engloutie dort sous ses eaux (les archéologues en ont vraiment trouvé des traces).",Issyk Kul lake Kyrgyzstan
3,Kirghizistan,Gorges de Jeti-Ögüz,,"« Les sept taureaux » : sept falaises de grès rouge sang dressées au-dessus des sapins. La légende raconte qu'un khan jaloux y aurait été puni — les taureaux, c'est lui.",Jeti-Oguz red rocks Kyrgyzstan
3,Kirghizistan,Vallée d'Altyn Arashan,,"Une vallée alpine à 2600 m accessible seulement à pied, à cheval ou en 4x4 soviétique brinquebalant. Récompense : des sources d'eau chaude naturelles où on se baigne face aux sommets.",Altyn Arashan valley hot springs
6,Mongolie,Monastère Gandan,,"Le grand monastère bouddhiste d'Oulan-Bator, un des seuls à avoir survécu aux purges soviétiques. À l'intérieur : un Bouddha debout de 26 mètres couvert d'or, et le murmure des moines en prière.",Gandan monastery Ulaanbaatar
6,Mongolie,Statue équestre de Gengis Khan,,"À 50 km de la ville, une statue d'acier de 40 mètres — la plus grande statue équestre du monde. On monte À L'INTÉRIEUR du cheval pour ressortir sur sa tête. Gengis regarde vers l'est, vers son lieu de naissance.",Genghis Khan equestrian statue Mongolia
7,Mongolie,Lac Khövsgöl,,"« La perle bleue de Mongolie » : un lac de 136 km de long aux eaux si pures qu'on les boit, entouré de taïga. Il contient presque 70 % de l'eau douce du pays.",Khovsgol lake Mongolia
7,Mongolie,La taïga des Tsaatan,,"Le bout du monde : plusieurs jours de piste puis de cheval pour rejoindre les tipis (urts) des derniers éleveurs de rennes. Environ 40 familles vivent encore ainsi, entre chamanisme et transhumance.",Tsaatan reindeer camp taiga
8,Mongolie,Festival Naadam,"UNESCO (patrimoine immatériel, 2010)","Les « trois jeux virils » : lutte mongole (sans catégorie de poids !), tir à l'arc (femmes comprises) et courses de chevaux sur 25 km montés… par des enfants de 6 à 12 ans. La grande fête nationale depuis l'époque de Gengis.",Naadam festival wrestling Mongolia
9,Chine,Cité interdite,"UNESCO 1987","Le plus grand palais du monde : 999 bâtiments et demi (pour ne pas égaler les 1000 du Palais céleste). Interdite au peuple pendant 500 ans — d'où son nom — elle a logé 24 empereurs. Ses toits jaunes étaient réservés à l'empereur seul.",Forbidden City Beijing
9,Chine,Place Tian'anmen,,"La plus grande place du monde : un million de personnes peuvent y tenir. Le portrait de Mao veille sur l'entrée de la Cité interdite depuis 1949.",Tiananmen square Beijing
9,Chine,Palais d'Été,"UNESCO 1998","Le jardin des empereurs : un lac creusé À LA MAIN, une colline construite avec la terre extraite, un bateau de marbre et une galerie couverte de 728 m entièrement peinte. La climatisation impériale avant l'heure.",Summer Palace Beijing lake
10,Chine,Grande Muraille de Gubeikou,"UNESCO 1987","La Muraille sauvage : ici, pas de restauration ni de foule — des tours de guet du XIVe siècle en ruines dans les broussailles, telles que les soldats Ming les ont laissées. Gubeikou verrouillait la route des invasions mongoles ; on y a livré plus de 130 batailles.",Gubeikou Great Wall wild
11,Chine,Aéroport de Pékin-Daxing,,"Oui, un aéroport peut être un monument : une étoile de mer géante dessinée par l'architecte Zaha Hadid, le plus grand terminal d'un seul tenant au monde. Levez la tête en partant.",Beijing Daxing airport architecture
12,Chine,Wulingyuan / montagnes Avatar,"UNESCO 1992","Plus de 3000 piliers de grès quartzite dressés dans la brume, certains de 200 m. Le « mont Hallelujah » d'Avatar a été copié sur l'un d'eux. En bas coule le ruisseau du Fouet d'Or, encadré de singes chapardeurs.",Zhangjiajie sandstone pillars mist
12,Chine,Montagne Tianmen,,"La « Porte du Ciel » : un trou naturel de 131 m de haut percé dans la montagne, atteint par le plus long téléphérique du monde (7,5 km) puis 999 marches. Bonus frissons : les passerelles de verre collées à la falaise.",Tianmen mountain heaven gate
12,Chine,Ascenseur Bailong,,"326 mètres d'ascension à flanc de falaise en 88 secondes : le plus haut ascenseur extérieur du monde, encastré dans la paroi. Vue vertigineuse garantie dans la cabine vitrée.",Bailong elevator cliff Zhangjiajie
13,Chine,Le Bund,,"La promenade mythique de Shanghai : d'un côté les palaces européens des années 1920, de l'autre — juste en face — les tours futuristes de Pudong. Cent ans d'histoire séparés par un fleuve.",Shanghai Bund skyline night
13,Chine,Pudong & Shanghai Tower,,"La skyline la plus folle d'Asie : la Shanghai Tower vrille ses 632 mètres (2e plus haute tour du monde) à côté de la « décapsuleuse » et de la tour Perle de l'Orient. Il y a 30 ans, c'était des champs.",Pudong Shanghai Tower
13,Chine,Vieille ville & jardin Yu,,"Le Shanghai d'avant les tours : un jardin Ming de 400 ans avec rochers sculptés, carpes et pavillons, au milieu des ruelles de la vieille ville. Le contraste parfait avec Pudong.",Yu Garden Shanghai
14,Hong-Kong,Victoria Peak,,"LE panorama : on monte en Peak Tram (funiculaire de 1888, si pentu que les immeubles semblent penchés) et la forêt de gratte-ciel s'étale sous vos pieds. Magique à la tombée de la nuit quand tout s'allume.",Victoria Peak Hong Kong night
14,Hong-Kong,Star Ferry,,"Depuis 1888, ces petits ferries verts et blancs traversent la baie pour quelques centimes. Classé parmi les plus beaux trajets en bateau du monde — et c'est le transport en commun le moins cher de la planète avec cette vue.",Star Ferry Hong Kong harbour
14,Hong-Kong,Marchés de Kowloon,,"Mongkok et ses marchés à thème : marché aux poissons rouges, marché aux oiseaux, marché de nuit de Temple Street avec ses diseuses de bonne aventure. Le Hong Kong électrique des néons.",Mongkok market neon Hong Kong
15,Indonésie,Parc national de Gunung Leuser,"UNESCO 2004 (forêts tropicales de Sumatra)","L'un des derniers endroits sur Terre où orangs-outans, tigres, éléphants et rhinocéros cohabitent à l'état sauvage. Depuis Bukit Lawang, on entre dans la jungle à pied — et on lève les yeux vers les nids dans les arbres.",Gunung Leuser jungle orangutan
15,Indonésie,Rivière Bohorok,,"La récompense après le trek : descendre la rivière en chambre à air (tubing) au milieu de la jungle, ou simplement s'y baigner pendant que les macaques observent depuis la rive.",Bukit Lawang river jungle
16,Indonésie,Palais Maimun & Grande Mosquée de Medan,,"Le palais jaune du sultanat de Deli (1888), mélange fou de styles malais, indien et européen, et sa grande mosquée au dôme noir. L'héritage des sultans du tabac.",Maimun Palace Medan
17,Indonésie,Îles Gili,,"Trois confettis de sable posés sur du turquoise : AUCUNE voiture ni scooter — on circule à vélo ou en carriole à cheval. Sous l'eau : tortues vertes garanties ou presque, à quelques mètres du bord.",Gili islands turquoise water
18,Indonésie,Mont Rinjani,,"Le géant de Lombok : 3726 m, deuxième plus haut volcan d'Indonésie, avec un lac turquoise dans sa caldeira. Même sans le gravir, il domine tous les paysages de l'île — les Sasak le considèrent sacré.",Rinjani volcano Lombok
18,Indonésie,Cascades de Tiu Kelep,,"Au pied du Rinjani, une cascade de 42 m dans la jungle où l'on marche dans la rivière pour l'atteindre. Douche naturelle géante, fous rires garantis.",Tiu Kelep waterfall Lombok
19,Indonésie,Mont Bromo,,"Le lever de soleil le plus célèbre d'Indonésie : un volcan fumant posé dans une « mer de sable », ancienne caldeira géante. On approche du cratère à pied ou à cheval, dans un paysage de bout du monde. Les Tenggerois y jettent des offrandes chaque année.",Mount Bromo sunrise sea of sand
19,Indonésie,Kawah Ijen,,"Le volcan aux flammes bleues : la nuit, le soufre qui brûle produit des flammes électriques uniques au monde, et au fond du cratère dort un lac acide turquoise. Les porteurs de soufre y font un des métiers les plus durs de la planète.",Kawah Ijen blue fire crater
20,Indonésie,Dauphins de Lovina,,"Sortie en mer à l'aube sur une pirogue à balancier : des dizaines de dauphins à long bec chassent au lever du soleil devant les volcans de Java. Réveil à 5 h, mais personne ne le regrette.",Lovina dolphins sunrise Bali
20,Indonésie,Rizières de Jatiluwih,"UNESCO 2012 (paysage culturel du subak)","Des rizières en terrasses à perte de vue, irriguées par le « subak », un système coopératif millénaire géré par les temples de l'eau. Le vert le plus intense que vous verrez du voyage.",Jatiluwih rice terraces Bali
21,Indonésie,Temple d'Uluwatu,,"Un temple hindou perché au bord d'une falaise de 70 m au-dessus de l'océan. Au coucher du soleil : la danse kecak, un chœur de 70 hommes qui rythment le Ramayana en transe. Attention aux singes voleurs de lunettes — c'est industriel.",Uluwatu temple cliff sunset
22,Indonésie,Parc national de Komodo,"UNESCO 1991","Le royaume des derniers dragons : ~3000 varans géants sur quelques îles arides, et sous l'eau l'un des plus riches récifs du monde. On marche avec un ranger armé d'un simple bâton fourchu.",Komodo dragon national park
22,Indonésie,Pink Beach,,"L'une des rares plages roses de la planète : du corail rouge broyé mélangé au sable blanc. Snorkeling directement depuis la plage dans un aquarium grandeur nature.",Pink Beach Komodo
22,Indonésie,Raies mantas de Manta Point,,"Nager avec des raies mantas de 3 à 5 m d'envergure qui planent comme des vaisseaux au-dessus des « stations de nettoyage ». Inoffensives, majestueuses, inoubliables.",manta ray snorkeling Komodo
23,Indonésie,Labuan Bajo,,"Le port des dragons : un ancien village de pêcheurs devenu la porte de Komodo. Le rituel du soir : coucher de soleil sur la baie constellée d'îles depuis une colline ou un rooftop.",Labuan Bajo sunset harbour
24,Malaisie,Tours Petronas,,"452 mètres, 88 étages, et un pont suspendu entre les deux tours au 41e : les jumelles d'acier ont été les plus hautes tours du monde (1998-2004) et restent les plus hautes tours JUMELLES. Illuminées la nuit, on dirait deux fusées.",Petronas Towers night
24,Malaisie,Batu Caves,,"272 marches arc-en-ciel gardées par une statue dorée de 43 m du dieu Murugan, menant à un temple hindou dans une grotte géante. Les macaques tiennent la rampe — surveillez vos casquettes.",Batu Caves rainbow stairs
24,Malaisie,Jalan Alor,,"LA rue de la street food de Kuala Lumpur : des centaines de stands fumants dès la nuit tombée. Satay, nouilles, durian pour les courageux — le dîner d'adieu du voyage se joue ici.",Jalan Alor street food night
